StopId;Name;CoordinateX;CoordinateY;VehicleTypeId;NeighborStops
13117;Salih Omurtak;27,098441;38,382803;1;12498:75.12499:80.13116:17
13118;Eyüp Ensari Cami;27,09609;38,38138;1;13119:19
13119;Eyüp Ensari Cami;27,096243;38,381263;1;13118:19
13120;Dernek;27,09774;38,37948;1;13121:18
13121;Dernek;27,097564;38,379499;1;13120:18
13123;Salih Omurtak 2 Son Durak;27,094814;38,378327;1;13124:161.13125:145
13124;Menekşe;27,096034;38,379382;1;13123:161.13125:17
13125;Menekşe;27,095873;38,379323;1;13123:145.13124:17
13130;Dereköy;27,11333;38,246015;1;13331:15
13163;Esbaş;27,13638;38,33551;1;10661:246.13164:10.1000228:67
13164;Esbaş;27,13636;38,33541;1;10661:246.13163:10.1000228:77
13181;Yasemin Ünsal;27,14408;38,34147;1;13182:12
13182;Yasemin Ünsal;27,143963;38,341507;1;13181:12
13183;Serdengeçti;27,13625;38,342104;1;13184:20
13184;Serdengeçti;27,136097;38,342232;1;13183:20
13209;Sarnıç Aktarma;27,14449;38,31339;1;13214:33.1000230:146.12957:343.12958:460
13214;Sarnıç Aktarma;27,144345;38,31309;1;13209:33.1000230:121.12957:339.12958:458
13223;Şehit Üst Teğmen;27,14099;38,31327;1;10672:166.10673:133.12944:148.12945:157.1000230:396
13254;Yasemin;27,081949;38,356318;1;13255:12
13255;Yasemin;27,08193;38,356196;1;13254:12
13256;Sümbül;27,082992;38,352906;1;13257:21
13257;Sümbül;27,082788;38,352964;1;13256:21
13258;Nergiz;27,084775;38,353904;1;13259:23
13259;Nergiz;27,084902;38,354098;1;13258:23
13260;Leylak;27,085913;38,355052;1;13261:12
13261;Leylak;27,086035;38,355032;1;13260:12
13262;Lavanta;27,087531;38,352924;1;13263:6
13263;Lavanta;27,087488;38,352879;1;13262:6
13264;Toki Evleri Son Durak;27,090528;38,353813;1;NULL
13265;Zambak;27,0814;38,3585;1;13266:14
13266;Zambak;27,0815;38,3586;1;13265:14
13267;Barış;27,082;38,3543;1;13268:10
13268;Barış;27,0821;38,3543;1;13267:10
13276;Menderes Aktarma Merkezi;27,16268;38,26274;1;13281:44.1000232:45
13281;Menderes Aktarma Merkezi;27,16263;38,26318;1;13276:44.1000232:80
13329;Dereköy İlköğretim Okulu;27,116276;38,247234;1;13330:23
13330;Dereköy İlköğretim Okulu;27,116049;38,247218;1;13329:23
13331;Dereköy;27,113432;38,246122;1;13130:15
13332;İncir Fabrikası;27,12035;38,248361;1;13333:38
13333;İncir Fabrikası;27,1207;38,24852;1;13332:38
13338;Aktepe Giriş;27,132297;38,351963;1;13339:31
13339;Aktepe Giriş;27,132425;38,352243;1;13338:31
13341;Kemer Aktarma Merkezi;27,15685;38,42157;1;13342:23.13343:37.13344:43.13345:33.13346:22.13349:62.1000223:121
13342;Kemer Aktarma Merkezi;27,15678;38,42179;1;13341:23.13343:14.13344:21.13345:13.13346:12.13349:44.1000223:104
13343;Kemer Aktarma Merkezi;27,15673;38,42192;1;13341:37.13342:14.13344:11.13345:12.13346:22.13349:36.1000223:95
13344;Kemer Aktarma Merkezi;27,15681;38,422;1;13341:43.13342:21.13343:11.13345:11.13346:24.13349:44.1000223:100
13345;Kemer Aktarma Merkezi;27,15685;38,4219;1;13341:33.13342:13.13343:12.13344:11.13346:13.13349:48.1000223:107
13346;Kemer Aktarma Merkezi;27,1569;38,42178;1;13341:22.13342:12.13343:22.13344:24.13345:13.13349:56.1000223:115
13349;Kemer Aktarma Merkezi;27,15637;38,42196;1;13341:62.13342:44.13343:36.13344:44.13345:48.13346:56.1000223:60
13368;Gaziemir Aktarma Merkezi;27,13554;38,35718;1;10654:78.10655:230.13370:0.13375:0.1000227:115
13370;Gaziemir Aktarma Merkezi;27,13554;38,35718;1;10654:78.10655:230.13368:0.13375:0.1000227:115
13375;Gaziemir Aktarma Merkezi;27,13554;38,35718;1;10654:78.10655:230.13368:0.13370:0.1000227:115
13385;Yeşilyurt Pazaryeri;27,100462;38,391525;1;13386:25
13386;Yeşilyurt Pazaryeri;27,100665;38,391679;1;13385:25
13387;Münevver Teyze Parkı;27,102044;38,393568;1;13388:21
13388;Münevver Teyze Parkı;27,102235;38,393647;1;13387:21
13389;Güven Cami;27,105371;38,394173;1;13390:13
13390;Güven Cami;27,105392;38,394043;1;13389:13
13391;Karasu;27,106541;38,395868;1;13392:30
13392;Karasu;27,106787;38,395693;1;13391:30
13420;Torbalı Toplu Konutlar Son Durak;27,290608;38,224352;1;14233:229
13421;Karakuyu Çıkış;27,396958;38,238565;1;13422:29
13422;Karakuyu Çıkış;27,396666;38,238591;1;13421:29
13423;Korucuk Giriş;27,420076;38,244962;1;13424:11
13424;Korucuk Giriş;27,420152;38,245038;1;13423:11
13425;Korucuk İlköğretim Okulu;27,422115;38,245119;1;13426:38
13426;Korucuk İlköğretim Okulu;27,422491;38,245105;1;13425:38
13427;İncirağa;27,424009;38,244814;1;13428:8
13428;İncirağa;27,424087;38,244783;1;13427:8
13429;Meydan;27,425516;38,243885;1;13430:20
13430;Meydan;27,425364;38,24402;1;13429:20
13431;Beyaz Ev;27,427682;38,241659;1;13432:14
13432;Beyaz Ev;27,4276;38,24177;1;13431:14
13433;Korucuk Çıkış;27,429674;38,239978;1;13434:11
13434;Korucuk Çıkış;27,429784;38,239968;1;13433:11
13435;Ormanköy;27,455454;38,249092;1;13436:6
13436;Ormanköy;27,45551;38,24908;1;13435:6
13437;Pınar Mevkii;27,452349;38,246185;1;13438:18
13438;Pınar Mevkii;27,452178;38,246139;1;13437:18
13439;Helvacı Köyü;27,472072;38,242815;1;13440:14
13440;Helvacı Köyü;27,471991;38,242928;1;13439:14
13441;Çamlık;27,4728;38,2445;1;13442:10
13442;Çamlık;27,4727;38,2445;1;13441:10
13443;Dağtekke;27,509668;38,247563;1;NULL
13444;Ormanköy Meydan;27,4572939;38,2496895;1;13445:12
13445;Ormanköy Meydan;27,457412;38,249678;1;13444:12.13446:90.13447:89
13446;Yukarıcık;27,458311;38,249767;1;13445:90.13447:9
13447;Yukarıcık;27,458299;38,249677;1;13445:89.13446:9
13471;Gölcükler Cami;27,144289;38,261158;1;13472:18
13472;Gölcükler Cami;27,144106;38,261157;1;13471:18
13473;Yonca;27,146197;38,264837;1;13474:4
13474;Yonca;27,146167;38,264862;1;13473:4
13475;Gazi İlköğretim Okulu;27,14536;38,267109;1;13476:16
13476;Gazi İlköğretim Okulu;27,145223;38,267029;1;13475:16
